name,total,new,deadNum,infecRate,deadRate
美国,13919870,161568,274332,"4,259",1.97
印度,9462809,31118,137621,698,1.45
巴西,6335878,21138,173120,"3,004",2.73
俄罗斯,2302062,26126,40050,"1,599",1.74
法国,2275016,4443,52819,"3,487",2.32
西班牙,1664945,6659,45069,"3,589",2.71
英国,1633734,12421,58545,"2,454",3.58
意大利,1601554,16376,55576,"2,701",3.47
阿根廷,1424533,5726,38730,"3,188",2.72
哥伦比亚,1316806,8430,36766,"2,662",2.79
墨西哥,1113543,6472,105940,851,9.51
德国,1076265,13247,16744,"1,307",1.56
波兰,999924,9113,17599,"2,624",1.76
伊朗,975951,13881,48628,"1,190",4.98
秘鲁,962530,0,35923,"2,957",3.73
南非,790004,2302,21535,"1,376",2.73
乌克兰,765117,12774,12962,"1,738",1.69
土耳其,638847,31219,13746,779,2.15
比利时,577345,746,16645,"5,024",2.88
伊拉克,554767,2218,12306,"1,410",2.22
智利,552864,1121,15430,"3,039",2.79
印度尼西亚,543975,5092,17081,203,3.14
荷兰,535978,4074,9515,"3,138",1.78
捷克,523298,3575,8295,-,1.59
罗马尼亚,479634,4272,11530,"2,449",2.40
孟加拉,467225,2293,6675,-,1.43
菲律宾,432925,1295,8418,406,1.94
巴基斯坦,400482,2458,8091,199,2.02
加拿大,381557,7457,12147,"1,032",3.18
沙特阿拉伯,357623,263,5907,"1,065",1.65
摩洛哥,356336,2533,5846,984,1.64
以色列,337422,1262,2867,"3,993",0.85
瑞士,330874,3802,4893,"3,874",1.48
葡萄牙,298061,3262,4505,"2,896",1.51
奥地利,282456,0,3184,"3,228",1.13
瑞典,260758,17629,6798,"2,612",2.61
尼泊尔,233452,0,1529,788,0.65
匈牙利,221073,3951,4977,"2,283",2.25
约旦,219430,0,2751,"2,216",1.25
厄瓜多尔,192685,568,13461,"1,142",6.99
塞尔维亚,183437,7999,1652,"2,094",0.90
阿联酋,170149,1289,576,"1,783",0.34
巴拿马,165806,1077,3079,"3,985",1.86
日本,151688,2031,2122,119,1.40
日本本土,150976,2031,2109,11,1.40
保加利亚,145300,2814,4035,"2,066",2.78
玻利维亚,144708,86,8957,"1,290",6.19
多米尼加,143988,515,2331,-,1.62
科威特,142992,357,881,"3,412",0.62
哥斯达黎加,139638,2545,1726,"2,820",1.24
格鲁吉亚,139343,3759,1303,"3,572",0.94
卡塔尔,139001,353,238,"5,167",0.17
白俄罗斯,138219,3211,1166,"1,462",0.84
亚美尼亚,135967,843,2193,"4,640",1.61
哈萨克斯坦,132348,689,1990,719,1.50
克罗地亚,131342,2900,1861,"3,157",1.42
黎巴嫩,127944,1000,1018,"2,100",0.80
阿塞拜疆,125602,6385,1433,"1,266",1.14
阿曼,123908,209,1430,"2,570",1.15
危地马拉,122062,0,4171,708,3.42
埃及,115911,370,6650,116,5.74
埃塞俄比亚,110074,540,1706,103,1.55
洪都拉斯,108253,365,2918,"1,150",2.70
摩尔多瓦,107364,347,2304,"2,657",2.15
斯洛伐克,107183,1254,868,"1,970",0.81
希腊,105271,1044,2406,944,2.29
委内瑞拉,102394,354,897,316,0.88
突尼斯,96769,518,3260,830,3.37
中国,93664,117,4750,6.7,5.07
缅甸,92189,1476,1972,171,2.14
巴勒斯坦,88004,2357,747,"1,742",0.85
波黑,87901,0,2681,"2,511",3.05
巴林,86956,169,341,"5,574",0.39
肯尼亚,83618,302,1469,164,1.76
利比亚,83417,608,1196,"1,289",1.43
阿尔及利亚,83199,978,2431,198,2.92
丹麦,82470,1468,846,"1,434",1.03
巴拉圭,82424,518,1756,"1,196",2.13
斯洛文尼亚,77106,1300,1490,"3,707",1.93
吉尔吉斯斯坦,73178,371,1275,"1,193",1.74
乌兹别克斯坦,73145,225,610,226,0.83
爱尔兰,72544,303,2053,"1,511",2.83
尼日利亚,67557,145,1173,34,1.74
马来西亚,67169,1472,363,209,0.54
