name,totalNum,newNum,deadNum,totalPopulation,deadRate,infecRate
美国,16942822,198647,308089,"32,676",1.82,5.185097
印度,9906165,22065,143709,"135,405",1.45,0.731595
巴西,6927145,25193,181835,"21,086",2.62,3.285187
俄罗斯,2682866,26265,47410,"14,396",1.77,1.863619
法国,2433859,3247,58391,"6,523",2.40,3.731196
英国,1874867,20377,64500,"6,657",3.44,2.816384
土耳其,1866345,29617,16646,"8,191",0.89,2.278531
意大利,1855737,12025,65011,"5,929",3.50,3.129933
西班牙,1762036,7967,48013,"4,639",2.72,3.79831
阿根廷,1503222,5062,41041,"4,468",2.73,3.364418
哥伦比亚,1434516,8742,39195,"4,946",2.73,2.900356
德国,1363730,12920,22687,"8,229",1.66,1.657224
墨西哥,1255974,5930,114298,"13,075",9.10,0.960592
波兰,1147446,6874,23309,"3,810",2.03,3.011669
伊朗,1123474,7704,52670,"8,201",4.69,1.369923
秘鲁,984973,0,36677,"3,255",3.72,3.026031
乌克兰,934161,8840,16038,"4,400",1.72,2.123093
南非,866127,5163,23451,"5,739",2.71,1.509195
荷兰,632085,61,10168,"1,708",1.61,3.700732
印度尼西亚,629429,6120,19111,"26,679",3.04,0.235927
比利时,609211,1074,18054,"1,149",2.96,5.302097
捷克,586251,5172,9743,-,1.66,
伊拉克,575972,0,12603,"3,933",2.19,1.46446
智利,573830,1911,15931,"1,819",2.78,3.154645
罗马尼亚,565758,6171,13698,"1,958",2.42,2.889469
孟加拉,494209,1877,7129,-,1.44,
加拿大,472820,7617,13570,"3,695",2.87,1.279621
菲律宾,451839,1106,8812,"10,651",1.95,0.424222
巴基斯坦,443246,2459,8905,"20,081",2.01,0.220729
摩洛哥,400826,1217,6659,"3,619",1.66,1.10756
瑞士,388828,4271,6185,854,1.59,4.553021
以色列,360630,2337,3014,845,0.84,4.267811
沙特阿拉伯,360013,0,6059,"3,355",1.68,1.073064
葡萄牙,350938,2194,5649,"1,029",1.61,3.410476
瑞典,341029,20931,7667,998,2.25,3.417124
奥地利,327679,2628,4648,875,1.42,3.744903
匈牙利,285763,1893,7237,968,2.53,2.952097
塞尔维亚,271364,0,2380,876,0.88,3.097763
约旦,262477,2863,3407,990,1.30,2.651283
尼泊尔,250180,936,1730,"2,962",0.69,0.844632
厄瓜多尔,202180,70,13875,"1,686",6.86,1.19917
格鲁吉亚,194900,3837,1883,390,0.97,4.997436
巴拿马,194619,1612,3382,416,1.74,4.678341
阿联酋,187267,1226,622,954,0.33,1.962966
哈萨克斯坦,186960,683,2613,"1,840",1.40,1.016087
日本,185248,2258,2571,"12,718",1.39,0.145658
日本本土,184536,2258,2558,"12,718",1.39,0.145098
阿塞拜疆,183259,4273,2007,992,1.10,1.847369
保加利亚,181544,2095,5838,703,3.22,2.582418
克罗地亚,179718,2360,2778,416,1.55,4.320144
白俄罗斯,164059,1911,1282,945,0.78,1.736074
多米尼加,155184,492,2364,-,1.52,
哥斯达黎加,153169,2222,1936,495,1.26,3.094323
亚美尼亚,149120,438,2529,293,1.70,5.08942
黎巴嫩,147613,1093,1210,609,0.82,2.423859
玻利维亚,147345,195,9024,"1,121",6.12,1.314407
科威特,146449,0,912,419,0.62,3.495203
卡塔尔,141272,311,241,269,0.17,5.251747
斯洛伐克,135523,2034,1251,544,0.92,2.491232
危地马拉,129405,0,4445,"1,724",3.43,0.750609
摩尔多瓦,127253,735,2598,404,2.04,3.149827
阿曼,126719,215,1475,482,1.16,2.629025
希腊,125173,639,3687,"1,114",2.95,1.123636
埃及,122086,511,6943,"9,937",5.69,0.12286
埃塞俄比亚,117242,473,1809,"10,667",1.54,0.109911
丹麦,116634,2992,961,575,0.82,2.028417
洪都拉斯,114642,283,2989,941,2.61,1.2183
巴勒斯坦,113409,2307,1023,505,0.90,2.245723
突尼斯,111758,397,3915,"1,165",3.50,0.959296
缅甸,109512,0,2292,"5,385",2.09,0.203365
委内瑞拉,108125,339,960,"3,238",0.89,0.333925
波黑,101461,0,3391,350,3.34,2.898886
斯洛文尼亚,98281,1536,2149,208,2.19,4.725048
立陶宛,96452,1431,863,287,0.89,3.360697
中国,95267,105,4763,"140,005",5.00,0.006805
巴拉圭,94223,641,1971,689,2.09,1.367533
阿尔及利亚,92597,495,2609,"4,200",2.82,0.220469
肯尼亚,92055,163,1593,"5,095",1.73,0.180677
利比亚,92017,660,1319,647,1.43,1.42221
巴林,89268,125,348,156,0.39,5.722308
马来西亚,86618,1772,422,"3,204",0.49,0.270343
吉尔吉斯斯坦,77910,236,1316,613,1.69,1.270962
爱尔兰,76449,264,2126,480,2.78,1.592688
乌兹别克斯坦,75241,147,612,"3,236",0.81,0.232512
北马其顿,73851,213,2147,-,2.91,
尼日利亚,73374,199,1197,"19,587",1.63,0.037461
新加坡,58341,16,29,579,0.05,1.007617
加纳,53270,256,327,"2,946",0.61,0.180821
阿尔巴尼亚,49191,661,1016,293,2.07,1.678874
阿富汗,48952,234,1995,"3,637",4.08,0.134594
韩国,44364,880,600,"5,116",1.35,0.086716
萨尔瓦多,42132,252,1212,641,2.88,0.657285
卢森堡,41900,1145,410,59,0.98,7.101695
黑山,41803,377,585,62,1.40,6.742419
挪威,41334,331,393,535,0.95,0.772598
斯里兰卡,33898,752,154,"2,095",0.45,0.161804
芬兰,31459,349,466,554,1.48,0.567852
澳大利亚,28048,9,908,"2,477",3.24,0.113234
乌干达,27766,234,224,"4,427",0.81,0.06272
拉脱维亚,26472,587,357,192,1.35,1.37875
喀麦隆,25214,71,443,"2,467",1.76,0.102205
科特迪瓦,21705,25,133,"2,490",0.61,0.087169
苏丹,21591,205,1355,"4,151",6.28,0.052014
爱沙尼亚,18682,297,157,130,0.84,1.437077
赞比亚,18322,0,367,"1,760",2.00,0.104102
马达加斯加,17587,0,259,"2,626",1.47,0.066973
塞内加尔,17216,70,350,"1,629",2.03,0.105684
莫桑比克,17002,48,143,"3,052",0.84,0.055708
纳米比亚,16726,0,163,258,0.97,0.648295
安哥拉,16277,89,372,"3,077",2.29,0.052899
塞浦路斯,15450,349,82,118,0.53,1.309322
刚果（金）,14597,136,358,-,2.45,
几内亚,13457,26,80,"1,305",0.59,0.103119
马尔代夫,13379,11,48,44,0.36,3.040682
博茨瓦纳,12873,372,38,233,0.30,0.552489
塔吉克斯坦,12741,0,88,910,0.69,0.140011
牙买加,11792,82,273,289,2.32,0.408028
佛得角,11361,4,110,55,0.97,2.065636
津巴布韦,11358,112,309,"1,691",2.72,0.067167
马耳他,11303,49,177,43,1.57,2.628605
毛里塔尼亚,11135,164,228,-,2.05,
乌拉圭,10029,321,95,346,0.95,0.289855
海地,9588,97,234,"1,111",2.44,0.086301
古巴,9492,69,137,"1,148",1.44,0.082683
伯利兹,9377,82,197,38,2.10,2.467632
加蓬,9351,21,63,206,0.67,0.453932
叙利亚,9302,136,530,"1,828",5.70,0.050886
巴哈马,7698,24,164,39,2.13,1.973846
安道尔,7382,44,79,7,1.07,10.545714
特立尼达和多巴哥,6885,6,123,137,1.79,0.502555
斯威士兰,6825,57,130,139,1.90,0.491007
卢旺达,6747,88,56,"1,250",0.83,0.053976
刚果（布）,6200,151,100,-,1.61,
马拉维,6070,4,187,"1,916",3.08,0.031681
圭亚那,5943,23,156,78,2.62,0.761923
尼加拉瓜,5887,0,162,628,2.75,0.093742
马里,5836,22,201,"1,910",3.44,0.030555
吉布提,5733,5,61,97,1.06,0.591031
冰岛,5571,7,28,33,0.50,1.688182
苏里南,5359,6,117,56,2.18,0.956964
赤道几内亚,5195,10,85,131,1.64,0.396565
中非共和国,4936,0,63,473,1.28,0.104355
索马里,4579,0,121,"1,518",2.64,0.030165
泰国,4246,9,60,"6,918",1.41,0.006138
布基纳法索,4209,179,71,"1,975",1.69,0.021311
冈比亚,3782,0,123,216,3.25,0.175093
多哥,3266,15,66,799,2.02,0.040876
贝宁,3090,0,44,"1,148",1.42,0.026916
塞拉利昂,2445,5,75,771,3.07,0.031712
几内亚比绍,2444,0,44,190,1.80,0.128632
尼日尔,2322,64,82,"2,231",3.53,0.010408
莱索托,2277,0,44,226,1.93,0.100752
新西兰,2096,0,25,474,1.19,0.044219
也门,2084,1,606,"2,891",29.08,0.007209
圣马力诺,1982,50,52,3,2.62,6.606667
乍得,1771,1,102,"1,535",5.76,0.011537
